# name|lat|lon|elevation_m|radius_km
Gabès|33.8815|10.0982|2062|22.0
Kawagoe|35.9086|139.4853|401|22.0
Takum|7.2667|9.9833|1640|22.0
Bignay Uno|13.8644|121.4879|-321|22.0
Vogan|6.3333|1.5333|1423|22.0
Fuling|29.7100|107.3939|330|22.0
Islamey|43.6756|43.4550|1912|22.0
Malasila|6.9439|125.1294|-350|22.0
Isla|18.0278|-95.5295|672|22.0
Vreden|52.0379|6.8280|1863|22.0
Elms-Old Rexdale|43.7215|-79.5490|1028|22.0
Keszthely|46.7681|17.2432|1748|22.0
Cuttack|20.4650|85.8793|1092|22.0
Maisons-Laffitte|48.9526|2.1452|2046|22.0
Aleksandrovsk-Sakhalinskiy|50.8963|142.1634|984|22.0
Saint-Georges-sur-Meuse|50.6001|5.3574|1920|22.0
Mimoso do Sul|-21.0642|-41.3664|225|22.0
Sancti Spíritus|21.9343|-79.4398|1195|22.0
Fang|19.9169|99.2145|725|22.0
Paracatu|-17.2222|-46.8747|288|22.0
‘Alāqahdārī Dīshū|30.4321|63.2980|1560|22.0
Forrest City|35.0082|-90.7898|1310|22.0
Brooklyn|39.2304|-76.6022|1071|22.0
Mingaladon|16.9241|96.0977|773|22.0
Kedungwaru|-8.0667|111.9167|-350|22.0
Tlaxcala|19.3178|-98.2385|633|22.0
Samayac|14.5808|-91.4613|630|22.0
Caulfield|-37.8825|145.0229|-350|22.0
Clinton|34.9980|-78.3233|1160|22.0
Sendagaya|35.6778|139.7082|395|22.0
Juexi|28.9241|104.2615|485|22.0
Septèmes-les-Vallons|43.3983|5.3660|2072|22.0
Big Bear Lake|34.2439|-116.9114|676|22.0
Tamansourt|31.7550|-8.1100|2509|22.0
Lino Lakes|45.1602|-93.0888|1199|22.0
Binkolo|8.9522|-11.9803|1142|22.0
Aş Şaff|29.5647|31.2811|1352|22.0
Vypīn|9.9667|76.2500|371|22.0
Eastern Passage|44.6168|-63.4820|1120|22.0
Zhigou|35.9167|119.2167|58|22.0
Bohain-en-Vermandois|49.9873|3.4530|1982|22.0
Châtenoy-le-Royal|46.7980|4.8119|2016|22.0
Xambrê|-23.7361|-53.4900|-205|22.0
Huixcolotla|18.9207|-97.7717|628|22.0
Simcoe|42.8334|-80.2997|1054|22.0
Szamotuły|52.6120|16.5779|1785|22.0
Wanneroo|-31.7500|115.8000|-350|22.0
Kudāl|16.0115|73.6887|774|22.0
Ubud|-8.5098|115.2654|-350|22.0
Wahlstedt|53.9531|10.2127|1799|22.0
Zinjibār|13.1287|45.3807|647|22.0
Chūndal|10.6240|76.0921|417|22.0
Körösladány|46.9667|21.0833|1728|22.0
Tash-Kumyr|41.3461|72.2171|1845|22.0
Milton Keynes|52.0417|-0.7558|2047|22.0
Roi Et|16.0567|103.6531|501|22.0
Los Lunas|34.8062|-106.7334|1101|22.0
Ferros|-19.2319|-43.0233|264|22.0
Paravai|9.9645|78.0667|399|22.0
Kolosovka|56.4689|73.6168|1448|22.0
Slaný|50.2305|14.0869|1781|22.0
Kherālu|23.8853|72.6187|1280|22.0
Rivière des Anguilles|-20.4930|57.5630|-265|22.0
São Miguel|-23.4942|-46.4322|55|22.0
Brighton|43.1476|-77.5506|1019|22.0
Walled Lake|42.5378|-83.4810|1106|22.0
Seota|23.6680|85.5205|1214|22.0
Alma|43.3789|-84.6597|1105|22.0
Eloy|32.7559|-111.5548|831|22.0
Bonate Sopra|45.6818|9.5596|1899|22.0
Prado del Rey|36.7876|-5.5559|2522|22.0
Yangebup|-32.1206|115.8162|-350|22.0
